anho,SP.ADO.TFRT,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.ZS,SL.TLF.0714.WK.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.ACTI.1524.FE.ZS,SL.TLF.ACTI.1524.MA.ZS,SL.TLF.ACTI.1524.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.ACTI.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.ACTI.MA.ZS,SL.TLF.ACTI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SE.ADT.1524.LT.FM.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SG.GEN.PARL.ZS,SM.POP.REFG,SM.POP.REFG.OR,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS
2000,1,242,242,242,244,244,242,242,244,244,31,31,31,31,31,31,31,31,7,7,170,108,108,68,70,46,55,82,79,112,31,31,31,31
2001,1,257,257,257,257,257,257,257,257,257,31,31,31,31,31,31,31,31,8,8,190,108,108,55,69,50,55,84,79,113,31,31,31,31
2002,1,262,262,262,266,266,262,262,266,266,31,31,31,31,31,31,31,31,8,8,201,108,108,59,74,41,50,84,81,97,31,31,31,31
2003,1,258,258,258,262,262,258,258,262,262,31,31,31,31,31,31,31,31,8,8,203,108,108,44,73,39,59,88,84,100,31,31,31,31
2004,1,255,255,255,266,266,255,255,266,266,31,31,31,31,31,31,31,31,8,8,197,108,108,37,72,43,53,75,71,99,31,31,31,31
2005,1,240,240,240,260,260,240,239,260,260,31,31,31,31,31,31,31,31,7,7,189,108,108,33,73,42,47,71,69,102,31,31,31,31
2006,1,235,235,235,255,255,235,235,255,255,31,31,31,31,31,31,31,31,8,8,184,108,108,30,71,36,58,80,78,101,31,31,31,31
2007,1,247,247,247,261,261,247,247,261,261,31,31,31,31,31,31,31,31,8,8,191,108,108,31,68,38,50,77,74,107,31,31,31,31
2008,1,254,254,254,260,260,254,254,260,260,31,31,31,31,31,31,31,31,8,8,189,108,108,32,65,37,54,81,77,98,31,31,31,31
2009,1,251,251,251,259,259,251,251,259,259,31,31,31,31,31,31,31,31,8,8,188,108,108,32,62,37,55,83,78,93,31,31,31,31
2010,1,245,245,245,250,250,245,245,250,250,31,31,31,31,31,31,31,31,8,8,174,103,103,32,60,36,60,82,76,89,31,31,31,31
2011,1,244,244,244,247,247,244,244,247,247,31,31,31,31,31,31,31,31,8,8,167,103,103,31,56,34,49,74,72,86,31,31,31,31
2012,1,242,242,242,242,242,242,242,242,242,31,31,31,31,31,31,31,31,8,8,175,103,103,30,59,34,48,80,78,84,31,31,31,31
2013,1,255,255,255,255,255,255,255,255,255,31,31,31,31,31,31,31,31,8,8,187,103,103,35,56,31,54,89,85,88,31,31,31,31
2014,1,248,248,248,248,248,248,248,248,248,31,31,31,31,31,31,31,31,8,8,176,103,103,31,52,31,49,83,81,87,31,31,31,31
2015,1,256,256,256,256,256,256,256,256,256,31,31,31,31,31,31,31,31,8,8,184,103,103,29,51,34,48,83,79,73,31,31,31,31
2016,1,264,264,264,264,264,264,264,264,264,31,31,31,31,31,31,31,31,8,8,192,103,103,26,51,37,52,87,85,80,31,31,31,31
2017,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,8,8,187,103,103,28,51,36,53,89,89,85,31,31,31,31
2018,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,180,103,103,27,51,34,60,89,90,83,31,31,31,31
2019,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,182,103,103,26,54,34,63,97,95,91,31,31,31,31
2020,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,189,106,106,28,55,34,76,106,105,95,31,31,31,31
2021,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,174,108,108,29,54,31,195,211,210,113,31,31,31,31
2022,266,266,266,266,266,266,266,266,266,266,32,32,32,32,32,32,32,32,266,266,180,266,266,31,55,31,262,264,264,179,32,32,32,32
2023,266,266,266,266,266,266,266,266,266,266,33,33,33,33,266,33,266,266,266,266,266,266,266,266,266,266,266,266,266,266,33,33,266,266
