anho,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.AIR.DPRT,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.ZS,ER.H2O.FWTL.K3,IS.SHP.GOOD.TU,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,IT.NET.BBND,IT.NET.BBND.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,TX.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN,BX.GSR.CCIS.ZS,BX.GSR.CCIS.CD,IT.NET.USER.ZS,IP.IDS.NRCT,IP.IDS.RSCT,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IS.SHP.GCNW.XQ,IT.CEL.SETS,IT.CEL.SETS.P2,IE.PPN.ICTI.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IS.RRS.TOTL.KM,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,ER.H2O.INTR.PC,ER.H2O.INTR.K3,IT.NET.SECR,IT.NET.SECR.P6,IP.TMK.NRCT,IP.TMK.RSCT
1995,71,58,57,126,129,132,124,121,266,87,84,85,85,85,85,85,266,266,12,12,266,266,151,162,10,229,229,247,224,246,251,266,18,18,260,231,245,250,171,141,148,38,39,266,266,266,266
1996,69,56,55,123,126,128,122,119,266,87,83,85,85,85,85,85,266,266,13,13,266,266,140,153,49,227,229,250,224,239,252,266,17,17,258,226,238,252,169,139,146,38,39,266,266,266,266
1997,69,55,55,122,125,127,121,118,266,87,83,85,85,85,85,85,266,266,12,12,266,266,131,144,37,228,228,236,224,237,248,266,17,18,255,227,236,248,170,139,145,38,39,266,266,266,266
1998,71,54,54,121,124,126,120,117,266,87,83,85,85,85,85,85,255,255,12,12,266,266,128,140,31,224,223,247,221,235,251,266,15,16,258,232,236,250,169,142,147,38,39,266,266,266,266
1999,71,60,60,120,123,125,119,116,266,87,83,85,85,85,85,85,250,251,12,12,266,266,123,135,24,218,219,259,217,236,248,266,14,15,263,226,237,247,168,141,146,38,39,266,266,266,266
2000,64,62,62,110,114,115,109,106,184,82,80,82,82,82,82,82,208,208,12,12,80,75,111,125,23,215,215,252,228,233,251,266,13,14,263,241,234,250,174,142,148,38,39,266,266,266,266
2001,64,63,62,108,110,111,107,104,178,82,81,82,82,82,82,82,165,166,12,12,84,71,109,123,19,211,212,241,221,241,244,266,13,14,260,234,240,244,179,154,150,38,39,266,266,266,266
2002,75,75,75,105,107,108,104,101,185,82,82,82,82,82,82,82,131,131,11,11,78,72,101,110,16,209,209,256,223,243,256,266,12,12,265,235,243,257,177,144,148,38,39,266,266,266,266
2003,74,74,74,104,106,107,103,100,178,82,82,82,82,82,82,82,108,108,11,11,73,65,96,103,22,212,212,259,220,237,254,266,12,12,264,225,240,253,182,155,154,38,39,266,266,266,266
2004,76,76,76,103,104,106,102,99,176,82,82,82,82,82,82,82,91,91,11,11,78,66,93,97,19,195,199,261,224,234,246,266,11,11,264,233,234,245,182,150,152,38,39,266,266,167,168
2005,84,85,85,101,103,105,100,97,180,81,81,81,81,81,81,81,55,55,11,11,75,64,65,70,18,196,197,255,214,234,250,266,14,14,266,220,234,249,188,159,158,38,39,266,266,171,171
2006,85,86,86,96,100,102,97,93,180,81,79,81,81,81,81,81,61,62,13,13,71,63,68,67,19,193,193,255,207,223,252,105,17,17,265,219,223,253,186,161,168,37,38,266,266,167,167
2007,90,86,87,94,97,99,95,91,121,81,80,81,81,81,81,81,35,36,11,11,69,56,59,56,14,192,195,259,208,221,251,105,14,14,266,222,221,252,185,156,163,37,38,266,266,169,170
2008,90,84,85,91,93,96,92,88,111,81,80,81,81,81,81,81,28,28,11,11,72,55,54,50,16,184,185,260,209,224,253,104,16,16,264,223,230,253,189,168,171,37,38,266,266,172,172
2009,81,81,81,91,93,96,92,88,111,81,80,81,81,81,81,81,24,25,8,8,66,57,49,46,16,192,192,264,210,235,252,105,14,14,266,226,234,252,197,183,184,37,38,266,266,179,179
2010,58,58,58,89,91,94,91,87,68,81,80,81,81,81,81,81,19,19,6,6,67,51,48,44,17,175,176,263,207,244,257,104,11,11,266,216,247,257,192,166,172,37,38,55,7,169,170
2011,58,58,58,89,91,94,91,87,60,81,81,81,81,81,81,81,29,31,15,15,66,55,42,40,14,163,166,263,207,241,259,103,15,15,265,208,243,259,198,176,173,37,38,55,7,160,158
